Index,Peak Name,Group,P1,P1,P1,P2,P2,P2,P3,P3,P3,P4,P4,P4,P5,P5,P5,P6,P6,P7,P7,P8,P8,P8,P9,P9,P9,P10,P10,P10,P11,P11,P11,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8,C9,C9,C9
1,gi|223029410,talin-1 [Homo sapiens],16339044.1456249,15703887.093821,12682057.4832533,34774202.239911,35047184.2709195,33385909.8503437,50906117.3430327,50849304.7085162,53145332.2485425,56998704.8543164,59098534.7813963,53983412.4664016,50545532.0107696,54021223.9541683,49535075.04047,15402154.0504358,27877638.6978387,32547554.7035054,32106843.7179785,28055574.0767049,27443781.7272006,28376235.3573963,60158188.1532868,60637123.2129721,53765593.8492889,49903968.9352247,47786156.3747701,46358329.9284212,22178237.9970403,22595486.5727608,22981179.9819484,53117392.4350808,55356310.0085916,56669336.2734995,66542830.1888124,65708162.9483484,68064222.6199752,47604099.3043452,47441968.3120487,47800623.4115278,55819685.0304795,56383545.2691933,58185829.3656477,30542441.1985442,30160377.7007006,29260079.9776723,53254629.0651479,52958666.9172613,50471361.208563,33707189.7737278,34147155.015878,33194469.5960478,20664828.9208184,21231549.1448969,21104561.4523286,72593257.9539408,74812313.2312649,72676824.3231751
2,gi|116063573,filamin-A isoform 1 [Homo sapiens],19091836.2585164,20214020.773353,17096846.6206121,31390846.7320521,31394616.5944115,31183730.7114083,38551884.5642931,32317568.2669958,36311427.2443732,32563249.1612669,34176569.9714265,35117691.7574551,44701416.1421098,41573939.8869067,42495135.6198689,10032551.5406786,32783329.9784033,29222223.7549263,27620398.1402065,29201044.4830851,29543780.411046,27221941.0939457,17161871.8028653,13475875.9072135,15137037.5445674,44523146.1628729,45049313.6990741,44119404.4169786,28385949.8649891,28190194.7712728,28907890.0456738,20704615.3149269,19867246.8325777,20021193.5835858,45388605.7464558,46799293.0008278,48709580.0543405,36975617.0996104,34936713.4244128,35176482.3362666,33716848.4875489,33441770.3882366,34810876.202044,33077709.4706603,35452723.7025943,35165105.1395435,37537499.0096969,39099885.8102524,33524689.5139532,22428353.1094111,24110053.8462174,22662054.6902952,28220045.4928694,29075189.2884089,27686177.9914417,29943385.7546843,29485683.1654527,32188010.2683632
3,gi|12667788,myosin-9 [Homo sapiens],13467556.3083072,12095486.4124642,11185213.0624903,18280683.3027944,18127463.6439943,18074125.4222459,22842399.938323,21376433.7402598,22214505.9475801,24889369.3382395,25627641.7708365,26279934.4194305,20902354.6619776,21297132.7291738,20456983.0314816,5135372.81396148,7614535.13966394,15073399.2925396,14056003.2670806,16303617.7233402,15665851.4683771,15191649.0605367,23572888.0806791,21076901.535722,21595478.6168939,20699001.6523632,20637271.8226588,19450597.0479514,13895876.5410431,13690688.4831519,13854080.7562168,19455936.4423526,17834497.1389278,18052611.4406184,23619366.7429315,24158177.1140702,23273258.0633287,20567143.8828973,20102476.101859,19920527.8454352,17781969.988951,18069144.5447666,18503683.8463749,16736545.3774543,16575296.0992494,17179541.2028312,22150358.2586106,22705401.3604195,21451237.2760764,14327136.3754759,14590910.7823992,15179284.8947468,13565540.707782,13908659.6508481,14528721.2623575,31861162.1078849,34450453.5467165,35393248.1773416
4,gi|61743954,neuroblast differentiation-associated protein AHNAK isoform 1 [Homo sapiens],5153720.01316096,5536250.07199795,5263461.82619011,5869537.2051873,7077288.47852954,6057877.400788,5287705.70384335,6273390.1426176,6597795.24615275,4637921.77828401,4964631.25144426,4343826.56104259,4777463.15852299,4244427.06548806,4113358.0109144,8215165.34095015,9008182.090646,5216494.49071561,5670049.56839167,6063497.50674107,7683253.65116644,7658903.7901912,3890397.95688982,3622427.48629469,3641298.12228877,2847248.93984737,2975667.34459463,2577518.32621381,4083689.68806613,5096354.23080491,5396321.5815064,1623063.85468536,2597838.59693477,1787083.88396834,1247802.50137727,1664268.05856404,1795335.00190466,4175830.97978544,4003214.69040068,4317627.36818834,2694607.56575218,1961674.42131252,2958520.39227504,3860981.13754331,4119316.15235738,3110972.74132876,2650181.10376893,3263201.04240563,3662349.0330655,7492974.62968183,7854239.52213494,6159549.05939226,4986243.26764865,4939880.11449098,4715879.5757703,2323173.203526,2841987.37305225,3793281.02659183
5,gi|4501885,"actin, cytoplasmic 1 [Homo sapiens]",145958144.480088,148745962.958393,161390683.813985,170068541.370548,195647082.140094,214539500.507632,216291840.728676,233986722.43034,196228082.503295,216542730.690485,191598494.099747,207163408.512606,237053436.048643,197957380.089161,230865606.783137,74213751.3965034,149660879.105478,172483888.720235,182360759.242124,198943327.961467,172003466.32748,203493465.940431,127475256.732793,184003667.487237,182330758.546651,170307301.723328,176956143.736176,180782497.763818,165908861.917697,168160427.426659,157285874.37919,176608880.363995,185156624.965695,195698526.861248,142423967.956475,125518279.421322,155337821.337495,186572766.382865,180469683.914477,200731873.797959,194025950.469938,196760511.257381,156082577.311627,169849893.828615,173768137.976395,141196372.273641,190500448.481591,194421565.110702,189985068.238987,164278861.680605,145334774.804521,159459262.401443,156423934.230399,146753174.045833,142048718.923879,134648337.747427,130460219.210293,152085450.458693
6,gi|47607492,plectin isoform 1c [Homo sapiens],2617328.65762765,2679310.12967089,2371142.72172711,1648962.66393184,2237371.33936632,1658749.22567026,2120748.95873062,2002357.83016354,1729337.11679799,1693145.51238804,1903149.99477789,1501349.93270586,1065844.56352995,1491950.92236536,1394422.47243297,3252069.03033753,3096526.81041661,3688516.4738686,3897667.45108655,2812775.62592635,3084626.14596402,2640512.47741355,2641462.08758318,3186976.68242435,3266373.11185058,3060905.55349026,2540338.97833538,2905910.89346068,2787184.00505618,2343314.59947422,3161652.57282633,1424229.11491221,1368349.75546679,1283791.00386663,2632901.35014269,2492514.00781167,2342409.32467156,2009178.86053954,2368180.13479404,2375145.68181952,1653423.22472985,1597252.38648573,1681329.99274728,2316106.97834518,2398560.86578223,2639718.6386551,2675436.58960532,3485034.2007763,3491430.24707023,3539602.13446973,3170982.006859,4028506.72810071,3186892.33687072,3403539.39932968,3404820.46908795,2077585.49604738,2204796.04198592,2329662.30279238
7,gi|4507877,vinculin isoform VCL [Homo sapiens],8345768.84563265,7548921.85080944,6773929.45900551,20586652.236117,21851930.7289079,19911073.8641487,37249505.9853836,35965441.514597,35312309.6928983,32591020.8002831,30602136.3135846,28631873.5018868,33125628.3423304,34177030.3016155,33279975.6698809,10821846.559941,15259932.5202181,16140588.6450387,17526106.4064927,15824385.9659904,17584795.1648818,17724400.7874618,44983196.5830945,43240089.03282,40250395.6955213,24151630.1833362,27540646.3089206,25962696.5888956,11897537.217214,12565751.1446623,12567872.750182,28912656.6051184,28878149.3447069,30296345.0635227,33725888.7188322,31744711.2970229,33930823.0701801,24116208.0891614,26848097.2458174,23930764.9735562,27973240.8426158,30661280.0773878,28149820.3160179,12607473.1198732,13139284.8360812,13421487.4160591,27368451.209865,26705763.7509544,27759545.9449085,16285904.4968749,15207554.2162318,16776009.8509299,11481828.2283682,10459579.4225925,10161851.0378442,42150057.2407931,42534219.0462387,47747496.0585393
8,gi|4501891,alpha-actinin-1 isoform b [Homo sapiens],7472725.53419179,6099712.27927215,5350720.03103657,10151121.2758049,9754860.88122773,10315713.2659724,13991178.026457,13635992.3325711,13547638.4305662,19893347.3412972,18902745.5798601,18234668.5931748,11972025.4533109,12062377.017538,11080836.553994,1926343.79935879,4629242.17066468,10063895.1271993,9136755.38830957,8650122.22299972,8846045.16973811,8666507.49122515,17610423.7139346,17521997.6041902,17054213.0991768,15439385.4495921,15298248.7042621,14942611.9302357,6977979.2277543,8024710.4725067,8754721.59857317,18022251.834133,16376414.3445111,15872922.7877738,17979962.3326932,18683215.9370204,18690338.3221557,14070930.9385822,13779026.5506093,13995866.0766548,16418409.3999551,15535638.5337512,16338002.0777285,9527564.92675295,9485030.04243069,9750567.97454225,18384625.113112,17043495.293735,17055995.9225,10063789.8530393,10979573.4041738,10405152.2690273,7374122.46240596,7932813.20784397,7831452.49764698,18859053.7442726,16824238.5958114,21723749.1370823
9,gi|11761629,fibrinogen alpha chain isoform alpha preproprotein [Homo sapiens],5363819.75937182,5916228.55986065,5051559.40344745,16898159.5935641,16087770.3510924,15304595.1919195,27911878.4156679,25535388.0687434,25833728.1089501,24755321.595136,26230366.7312487,23459037.0977922,19312589.5775305,21896981.1681045,18568493.2860503,12250351.2034279,12172177.944161,14709393.4726068,14201699.4672127,12976494.7645317,12814409.5199978,11728031.4637556,14700195.348332,14436887.4193292,12082270.07084,20585785.4945888,20544075.4324043,21730115.4960553,11740037.91159,12040977.2015357,11857906.7490622,18932976.0048211,19192625.5557865,20423442.4660078,18018626.1351982,20955438.5731895,20214463.0916373,14603464.2166182,15433429.4803414,15098584.334098,21480722.9178866,20691522.2947262,21470072.1623095,13905486.5352992,14012549.1791307,14893423.4138201,25175761.557221,26808208.6144942,26219193.113351,11785170.5012169,11853709.3032018,11750864.3196589,9752951.88425655,9892593.49781679,9701997.14024128,13308206.4119517,14952975.3590284,15446107.7733982
10,gi|62414289,vimentin [Homo sapiens],31117549.5454831,30974294.288192,31475517.7047372,26004333.7065252,26463369.6422681,24894482.5614706,21939262.8668154,21931112.0554055,24021625.9287918,25857962.7852911,26591190.8003489,25178114.5907556,10774592.8542062,11791464.8501753,10646926.9109696,18981354.0151059,21342061.7973429,25406638.0605689,25114839.6966114,27663778.465526,28500875.8363291,28007609.9055504,49818838.1383963,49534512.770517,52305504.7437778,13772102.2362538,14241938.8476147,14368019.2694033,27365385.1117496,28663070.5743173,28030803.9004729,32716290.6764552,30500758.6141473,32154427.119385,20962996.0726885,20914443.6868118,19409613.5098518,20694793.8421922,20611100.0256525,20255034.1435323,25050662.835193,22792982.5693242,27092675.6391422,22983948.4643819,22075266.2419091,23880292.8767147,15901750.7634034,16227834.3576625,16097410.3013833,38182460.3795217,39623800.6882765,37669564.6800403,24003707.4943449,24950809.0411818,25369606.2410174,30693902.5804576,32473597.4392994,28772842.4948046
