Index,Peak Name,Group,type
894,gi|259155315,mitochondrial 2-oxoglutarate/malate carrier protein isoform 2 [Homo sapiens],top
2813,gi|4505361,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 [Homo sapiens],top
600,gi|47132595,"phosphate carrier protein, mitochondrial isoform b precursor [Homo sapiens]",top
224,gi|4505773,prohibitin [Homo sapiens],top
2027,gi|10092657,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 isoform a [Homo sapiens],top
2580,gi|42490749,"ATP-binding cassette sub-family B member 7, mitochondrial isoform 1 [Homo sapiens]",top
1863,gi|4826848,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 [Homo sapiens],top
2474,gi|5901896,"ATP synthase subunit epsilon, mitochondrial [Homo sapiens]",top
2281,gi|4758152,mitochondrial import inner membrane translocase subunit Tim8 A isoform 1 [Homo sapiens],top
231,gi|4504327,"trifunctional enzyme subunit beta, mitochondrial precursor [Homo sapiens]",top
2826,gi|4758772,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 [Homo sapiens],top
2697,gi|209862760,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial isoform 2 [Homo sapiens]",top
981,gi|21361565,"ATP synthase subunit b, mitochondrial precursor [Homo sapiens]",top
2055,gi|50345991,"ATP synthase subunit delta, mitochondrial precursor [Homo sapiens]",top
200,gi|316983160,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial isoform 5 [Homo sapiens]",top
2012,gi|48526509,mitochondrial import inner membrane translocase subunit TIM50 [Homo sapiens],top
913,gi|5453559,"ATP synthase subunit d, mitochondrial isoform a [Homo sapiens]",top
1003,gi|17017988,"cytochrome c oxidase subunit 5B, mitochondrial precursor [Homo sapiens]",top
2419,gi|66933014,3-hydroxybutyrate dehydrogenase type 2 [Homo sapiens],top
2307,gi|4502993,"cytochrome c oxidase subunit 7C, mitochondrial precursor [Homo sapiens]",top
2957,gi|215490102,protein spinster homolog 1 isoform 3 [Homo sapiens],top
348,gi|156071459,ADP/ATP translocase 2 [Homo sapiens],top
1456,gi|5454152,cytochrome b-c1 complex subunit 7 isoform 1 [Homo sapiens],top
759,gi|155722983,"heat shock protein 75 kDa, mitochondrial isoform 1 precursor [Homo sapiens]",top
2808,gi|56606061,mitochondrial import inner membrane translocase subunit Tim22 [Homo sapiens],top
2001,gi|119703746,"electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial precursor [Homo sapiens]",top
911,gi|251831110,cytochrome c oxidase subunit II [Homo sapiens],top
2888,gi|7657581,calcium-binding mitochondrial carrier protein Aralar2 isoform 2 [Homo sapiens],top
2588,gi|51558774,"ATP synthase subunit s, mitochondrial isoform a precursor [Homo sapiens]",top
715,gi|156416003,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial [Homo sapiens]",top
579,gi|4503023,"carnitine O-palmitoyltransferase 2, mitochondrial precursor [Homo sapiens]",top
838,gi|148491091,calcium-binding mitochondrial carrier protein SCaMC-1 isoform 1 [Homo sapiens],top
1993,gi|6005717,"ATP synthase subunit e, mitochondrial [Homo sapiens]",top
2425,gi|4758040,cytochrome c oxidase subunit 6C proprotein [Homo sapiens],top
2127,gi|45006951,"dihydroorotate dehydrogenase (quinone), mitochondrial [Homo sapiens]",top
776,gi|7305503,"stomatin-like protein 2, mitochondrial [Homo sapiens]",top
2216,gi|33636719,mitochondrial import inner membrane translocase subunit TIM44 [Homo sapiens],top
2158,gi|32967305,ubiquinone biosynthesis monooxygenase COQ6 isoform a [Homo sapiens],top
458,gi|50592988,"cytochrome b-c1 complex subunit 2, mitochondrial precursor [Homo sapiens]",top
145,gi|154354966,mitochondrial inner membrane protein isoform 3 [Homo sapiens],top
1984,gi|156071462,ADP/ATP translocase 3 [Homo sapiens],top
1032,gi|8923390,"coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial precursor [Homo sapiens]",top
2504,gi|45387955,protein QIL1 precursor [Homo sapiens],top
1004,gi|4758786,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial isoform 1 precursor [Homo sapiens]",top
1187,gi|4505355,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 isoform 1 [Homo sapiens],top
238,gi|224831243,"dynamin-like 120 kDa protein, mitochondrial isoform 1 [Homo sapiens]",top
1593,gi|21389315,"tricarboxylate transport protein, mitochondrial isoform a precursor [Homo sapiens]",top
1083,gi|115387094,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial precursor [Homo sapiens]",top
38,gi|32189394,"ATP synthase subunit beta, mitochondrial precursor [Homo sapiens]",top
1300,gi|48255924,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial isoform a precursor [Homo sapiens]",top
2749,gi|20143480,phosphatidate cytidylyltransferase 2 [Homo sapiens],top
1301,gi|116812610,apolipoprotein O-like precursor [Homo sapiens],top
417,gi|283436222,ATPase family AAA domain-containing protein 3A isoform 2 [Homo sapiens],top
363,gi|4502303,"ATP synthase subunit O, mitochondrial precursor [Homo sapiens]",top
688,gi|21361103,calcium-binding mitochondrial carrier protein Aralar1 [Homo sapiens],top
624,gi|261862352,"serine hydroxymethyltransferase, mitochondrial isoform 3 [Homo sapiens]",top
1427,gi|4758774,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 [Homo sapiens],top
1680,gi|222080062,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial precursor [Homo sapiens]",top
1816,gi|262118227,"cytochrome c oxidase subunit 7A2, mitochondrial precursor [Homo sapiens]",top
1867,gi|4505357,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 [Homo sapiens],top
63,gi|50345984,"ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]",top
442,gi|46593007,"cytochrome b-c1 complex subunit 1, mitochondrial precursor [Homo sapiens]",top
2143,gi|6274550,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 [Homo sapiens],top
518,gi|378548190,40S ribosomal protein S3 isoform 1 [Homo sapiens],top
2211,gi|6041669,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 isoform 1 [Homo sapiens],top
796,gi|50345988,"ATP synthase subunit gamma, mitochondrial isoform L (liver) precursor [Homo sapiens]",top
1225,gi|260656005,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial isoform 2 precursor [Homo sapiens]",top
2191,gi|103472001,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 [Homo sapiens],top
2144,gi|171846278,leucine-rich repeat serine/threonine-protein kinase 2 [Homo sapiens],top
1685,gi|6912482,"LETM1 and EF-hand domain-containing protein 1, mitochondrial precursor [Homo sapiens]",top
1970,gi|83367083,cytochrome b-c1 complex subunit 8 [Homo sapiens],top
2304,gi|13129148,apolipoprotein O precursor [Homo sapiens],top
1994,gi|11024700,mitochondrial import inner membrane translocase subunit Tim13 [Homo sapiens],top
960,gi|51479143,"ATP synthase-coupling factor 6, mitochondrial isoform a precursor [Homo sapiens]",top
